

           p           t          cp           h           m          mw         gam         rho
   7.0000E+00  1.8000E+04  6.8739E+00  4.2221E+04  0.0000E+00  2.3647E+01  1.2093E+00  1.1060E-01
   7.0000E+00  1.9000E+04  5.3015E+00  4.8324E+04  0.0000E+00  2.2219E+01  1.2355E+00  9.8453E-02
   8.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  3.8437E+00
   8.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.9218E+00
   8.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.2812E+00
   8.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  9.6092E-01
   8.0000E+00  5.0000E+03  5.2038E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  7.6874E-01
   8.0000E+00  6.0000E+03  5.2131E-01  2.9672E+03  0.0000E+00  3.9948E+01  1.6649E+00  6.4061E-01
   8.0000E+00  7.0000E+03  5.2825E-01  3.4917E+03  0.0000E+00  3.9944E+01  1.6530E+00  5.4905E-01
   8.0000E+00  8.0000E+03  5.5766E-01  4.0313E+03  0.0000E+00  3.9926E+01  1.6090E+00  4.8019E-01
   8.0000E+00  9.0000E+03  6.4857E-01  4.6273E+03  0.0000E+00  3.9856E+01  1.5099E+00  4.2609E-01
   8.0000E+00  1.0000E+04  8.5768E-01  5.3676E+03  0.0000E+00  3.9658E+01  1.3874E+00  3.8158E-01
   8.0000E+00  1.1000E+04  1.2614E+00  6.4074E+03  0.0000E+00  3.9204E+01  1.2890E+00  3.4292E-01
   8.0000E+00  1.2000E+04  1.9452E+00  7.9838E+03  0.0000E+00  3.8325E+01  1.2288E+00  3.0729E-01
   8.0000E+00  1.3000E+04  2.9815E+00  1.0416E+04  0.0000E+00  3.6851E+01  1.1973E+00  2.7275E-01
   8.0000E+00  1.4000E+04  4.3796E+00  1.4069E+04  0.0000E+00  3.4698E+01  1.1831E+00  2.3847E-01
   8.0000E+00  1.5000E+04  5.9795E+00  1.9246E+04  0.0000E+00  3.1963E+01  1.1793E+00  2.0502E-01
   8.0000E+00  1.6000E+04  7.3257E+00  2.5947E+04  0.0000E+00  2.8975E+01  1.1823E+00  1.7425E-01
   8.0000E+00  1.7000E+04  7.7666E+00  3.3591E+04  0.0000E+00  2.6198E+01  1.1915E+00  1.4827E-01
   8.0000E+00  1.8000E+04  7.0178E+00  4.1073E+04  0.0000E+00  2.3994E+01  1.2073E+00  1.2826E-01
   8.0000E+00  1.9000E+04  5.5519E+00  4.7385E+04  0.0000E+00  2.2468E+01  1.2315E+00  1.1378E-01
   9.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.3242E+00
   9.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.1621E+00
   9.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.4414E+00
   9.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.0810E+00
   9.0000E+00  5.0000E+03  5.2038E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  8.6483E-01
   9.0000E+00  6.0000E+03  5.2125E-01  2.9672E+03  0.0000E+00  3.9948E+01  1.6650E+00  7.2069E-01
   9.0000E+00  7.0000E+03  5.2780E-01  3.4914E+03  0.0000E+00  3.9945E+01  1.6537E+00  6.1768E-01
   9.0000E+00  8.0000E+03  5.5549E-01  4.0299E+03  0.0000E+00  3.9927E+01  1.6120E+00  5.4023E-01
   9.0000E+00  9.0000E+03  6.4129E-01  4.6216E+03  0.0000E+00  3.9861E+01  1.5165E+00  4.7942E-01
   9.0000E+00  1.0000E+04  8.3854E-01  5.3494E+03  0.0000E+00  3.9674E+01  1.3956E+00  4.2945E-01
   9.0000E+00  1.1000E+04  1.2193E+00  6.3597E+03  0.0000E+00  3.9246E+01  1.2961E+00  3.8620E-01
   9.0000E+00  1.2000E+04  1.8647E+00  7.8764E+03  0.0000E+00  3.8414E+01  1.2339E+00  3.4651E-01
   9.0000E+00  1.3000E+04  2.8449E+00  1.0201E+04  0.0000E+00  3.7014E+01  1.2007E+00  3.0820E-01
   9.0000E+00  1.4000E+04  4.1753E+00  1.3685E+04  0.0000E+00  3.4955E+01  1.1853E+00  2.7026E-01
   9.0000E+00  1.5000E+04  5.7249E+00  1.8628E+04  0.0000E+00  3.2311E+01  1.1805E+00  2.3317E-01
   9.0000E+00  1.6000E+04  7.0958E+00  2.5078E+04  0.0000E+00  2.9376E+01  1.1828E+00  1.9873E-01
   9.0000E+00  1.7000E+04  7.6760E+00  3.2553E+04  0.0000E+00  2.6586E+01  1.1911E+00  1.6928E-01
   9.0000E+00  1.8000E+04  7.1140E+00  4.0040E+04  0.0000E+00  2.4316E+01  1.2058E+00  1.4623E-01
   9.0000E+00  1.9000E+04  5.7599E+00  4.6513E+04  0.0000E+00  2.2704E+01  1.2283E+00  1.2935E-01
   1.0000E+01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.8046E+00
   1.0000E+01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.4023E+00
   1.0000E+01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.6015E+00
   1.0000E+01  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.2012E+00
   1.0000E+01  5.0000E+03  5.2038E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  9.6092E-01
   1.0000E+01  6.0000E+03  5.2121E-01  2.9672E+03  0.0000E+00  3.9948E+01  1.6651E+00  8.0076E-01
   1.0000E+01  7.0000E+03  5.2742E-01  3.4913E+03  0.0000E+00  3.9945E+01  1.6544E+00  6.8632E-01
   1.0000E+01  8.0000E+03  5.5366E-01  4.0288E+03  0.0000E+00  3.9928E+01  1.6146E+00  6.0028E-01
   1.0000E+01  9.0000E+03  6.3513E-01  4.6168E+03  0.0000E+00  3.9865E+01  1.5222E+00  5.3274E-01
   1.0000E+01  1.0000E+04  8.2234E-01  5.3341E+03  0.0000E+00  3.9688E+01  1.4029E+00  4.7734E-01
   1.0000E+01  1.1000E+04  1.1837E+00  6.3194E+03  0.0000E+00  3.9281E+01  1.3025E+00  4.2949E-01
   1.0000E+01  1.2000E+04  1.7966E+00  7.7855E+03  0.0000E+00  3.8490E+01  1.2385E+00  3.8577E-01
   1.0000E+01  1.3000E+04  2.7290E+00  1.0020E+04  0.0000E+00  3.7153E+01  1.2038E+00  3.4373E-01
   1.0000E+01  1.4000E+04  4.0008E+00  1.3358E+04  0.0000E+00  3.5176E+01  1.1873E+00  3.0219E-01
   1.0000E+01  1.5000E+04  5.5029E+00  1.8101E+04  0.0000E+00  3.2614E+01  1.1817E+00  2.6151E-01
   1.0000E+01  1.6000E+04  6.8846E+00  2.4327E+04  0.0000E+00  2.9731E+01  1.1833E+00  2.2348E-01
