Relative Time,Date,Time Stamp UTC,Volt,Volt,Volt,Volt,Chn 1 Events
1.93,2023-07-21,6:32:34 PM,1.057434082,0.000305176,-0.001220703,0,
1.94,2023-07-21,6:32:34 PM,1.057739258,0.000305176,-0.001220703,0,
1.95,2023-07-21,6:32:34 PM,1.058044434,0.000305176,-0.001220703,0,
1.96,2023-07-21,6:32:34 PM,1.057739258,0.000305176,-0.001220703,0,
1.97,2023-07-21,6:32:34 PM,1.057434082,0.000305176,-0.001220703,0,
1.98,2023-07-21,6:32:34 PM,1.056518555,0.000305176,-0.001220703,0.000305176,
1.99,2023-07-21,6:32:34 PM,1.055908203,0.000305176,-0.001220703,0.000305176,
2,2023-07-21,6:32:35 PM,1.055908203,0.000305176,-0.001220703,0.000305176,
2.01,2023-07-21,6:32:35 PM,1.055908203,0.000305176,-0.001220703,0.000305176,
2.02,2023-07-21,6:32:35 PM,1.055908203,0.000305176,-0.001220703,0.000305176,
2.03,2023-07-21,6:32:35 PM,1.055297852,0.000305176,-0.001220703,0.000305176,
2.04,2023-07-21,6:32:35 PM,1.054992676,0.000305176,-0.000915527,0.000305176,
2.05,2023-07-21,6:32:35 PM,1.055297852,0.000305176,-0.001220703,0.000305176,
2.06,2023-07-21,6:32:35 PM,1.056213379,0.000305176,-0.001220703,0.000305176,
2.07,2023-07-21,6:32:35 PM,1.05682373,0.000305176,-0.001220703,0.000305176,
2.08,2023-07-21,6:32:35 PM,1.05682373,0.000305176,-0.001220703,0.000305176,
2.09,2023-07-21,6:32:35 PM,1.056518555,0.000305176,-0.001220703,0.000305176,
2.1,2023-07-21,6:32:35 PM,1.056213379,0.000305176,-0.001220703,0.000305176,
2.11,2023-07-21,6:32:35 PM,1.054992676,0.000305176,-0.001220703,0.000305176,
2.12,2023-07-21,6:32:35 PM,1.053771973,0.000305176,-0.001220703,0.000305176,
2.13,2023-07-21,6:32:35 PM,1.053466797,0.000305176,-0.001220703,0.000305176,
2.14,2023-07-21,6:32:35 PM,1.053161621,0.000305176,-0.001220703,0.000305176,
2.15,2023-07-21,6:32:35 PM,1.053466797,0.000305176,-0.001220703,0.000305176,
2.16,2023-07-21,6:32:35 PM,1.054382324,0.000305176,-0.001220703,0.000305176,
2.17,2023-07-21,6:32:35 PM,1.055297852,0.000305176,-0.001220703,0.000305176,
2.18,2023-07-21,6:32:35 PM,1.055603027,0.000305176,-0.000915527,0,
2.19,2023-07-21,6:32:35 PM,1.055603027,0.000305176,-0.000915527,0,
2.2,2023-07-21,6:32:35 PM,1.054992676,0.000305176,-0.000915527,0,
2.21,2023-07-21,6:32:35 PM,1.053771973,0.000305176,-0.000915527,0,
2.22,2023-07-21,6:32:35 PM,1.051940918,0.000305176,-0.000915527,0,
